,Year,State Name,Dist Name,Total_Area_ha,Total_Yield_t_per_ha
9180,1998,Haryana,Gurgaon,642359.9999999999,1.9023600473254876
9181,1999,Haryana,Gurgaon,656820.0000000001,2.13361347096617
9182,2000,Haryana,Gurgaon,646700.0,2.1618988711922067
9183,2001,Haryana,Gurgaon,665050.0000000002,2.131268325689797
9184,2002,Haryana,Gurgaon,637760.0,2.0495170597089816
9185,2003,Haryana,Gurgaon,663539.9999999999,2.099195225608102
9186,2004,Haryana,Gurgaon,658819.9999999999,1.9978142740050397
9187,2005,Haryana,Gurgaon,664209.9999999998,1.8510711973622807
9188,2006,Haryana,Gurgaon,645719.9999999999,2.014960044601376
9189,2007,Haryana,Gurgaon,648130.0000000001,2.326230848749479
9190,2008,Haryana,Gurgaon,616430.0000000001,2.5764482585208373
9191,2009,Haryana,Gurgaon,625790.0,2.4639255980440726
9192,2010,Haryana,Gurgaon,571489.9999999999,2.8021487690073323
9193,2011,Haryana,Gurgaon,560829.9999999998,3.1053973574880103
9194,2012,Haryana,Gurgaon,523190.00000000006,3.0238536669278844
9195,2013,Haryana,Gurgaon,545939.9999999999,2.9299556727845566
9196,2014,Haryana,Gurgaon,519979.9999999999,2.419996922958576
9197,2015,Haryana,Gurgaon,602920.0000000001,2.387812645127048
9198,2016,Haryana,Gurgaon,506600.0,3.272996446900908
9199,2017,Haryana,Gurgaon,501600.0,3.2820574162679423
9200,1966,Haryana,Jind,349010.00000000006,0.6719005186097818
9201,1967,Haryana,Jind,385260.00000000006,0.9650625551575558
9202,1968,Haryana,Jind,335720.00000000006,0.860240676754438
9203,1969,Haryana,Jind,388989.99999999994,0.7943648936990668
9204,1970,Haryana,Jind,372690.00000000006,1.0303469371327374
9205,1971,Haryana,Jind,383700.0,0.9710711493354182
9206,1972,Haryana,Jind,482500.0,0.8493264248704663
9207,1973,Haryana,Jind,489530.00000000006,0.8718566788552283
9208,1974,Haryana,Jind,445110.0,0.7975556603985532
9209,1975,Haryana,Jind,485050.00000000006,0.9512421399855684
9210,1976,Haryana,Jind,485029.99999999994,1.0986949260870462
9211,1977,Haryana,Jind,477140.0,1.050635033742717
9212,1978,Haryana,Jind,478859.99999999994,1.2962034832727727
9213,1979,Haryana,Jind,435059.99999999994,1.0639911736312235
9214,1980,Haryana,Jind,474570.0,1.1968729586783824
9215,1981,Haryana,Jind,474590.00000000006,1.1940833140184157
9216,1982,Haryana,Jind,423549.99999999994,1.2829654114036129
9217,1983,Haryana,Jind,488800.0,1.318126022913257
9218,1984,Haryana,Jind,494330.00000000006,1.3519308963647767
9219,1985,Haryana,Jind,481690.0000000001,1.7264215574332034
9220,1986,Haryana,Jind,479080.00000000006,1.5780245470485095
9221,1987,Haryana,Jind,443740.00000000006,1.4618920989768782
9222,1988,Haryana,Jind,518210.0000000002,1.9403330696049856
9223,1989,Haryana,Jind,499409.99999999994,2.1174986484051184
9224,1990,Haryana,Jind,449330.0,2.2570938953553066
9225,1991,Haryana,Jind,445519.99999999994,2.312892799425391
9226,1992,Haryana,Jind,450570.0000000001,2.4120114521605958
9227,1993,Haryana,Jind,462790.0,2.4282071782017756
9228,1994,Haryana,Jind,470430.0,2.5527283549093376
9229,1995,Haryana,Jind,464190.00000000006,2.2852926603330537
9230,1996,Haryana,Jind,488179.99999999994,2.655721250358474
9231,1997,Haryana,Jind,483350.0000000001,2.4792179580014477
9232,1998,Haryana,Jind,528510.0000000001,2.412896633933132
9233,1999,Haryana,Jind,535530.0,2.5865217634866395
9234,2000,Haryana,Jind,535040.0,2.7020035885167464
9235,2001,Haryana,Jind,543090.0,2.685429670956931
9236,2002,Haryana,Jind,511259.9999999999,2.6447208856550484
9237,2003,Haryana,Jind,541499.9999999999,2.655715604801478
9238,2004,Haryana,Jind,547920.0,2.613574974448825
9239,2005,Haryana,Jind,555900.0,2.6354200395754637
9240,2006,Haryana,Jind,544390.0000000001,2.8810227961571657
9241,2007,Haryana,Jind,546370.0000000001,2.91300766879587
9242,2008,Haryana,Jind,546130.0000000001,3.0609561825938867
9243,2009,Haryana,Jind,541360.0,2.936123836264223
9244,2010,Haryana,Jind,504010.0,3.27787147080415
